Plugin ID,CVE,CVSS,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output
"21642","","","None","careers.qatarairways.com","udp","5060","Session Initiation Protocol Detection","The remote system is a SIP signaling device.","The remote system is running software that speaks the Session
Initiation Protocol (SIP).

SIP is a messaging protocol to initiate communication sessions between
systems.  It is a protocol used mostly in IP Telephony networks /
systems to setup, control, and teardown sessions between two or more
systems.","If possible, filter incoming connections to the port so that it is
used only by trusted sources.","https://en.wikipedia.org/wiki/Session_Initiation_Protocol","
Nessus found an unidentified SIP service.
"
"21642","","","None","careers.qatarairways.com","udp","5061","Session Initiation Protocol Detection","The remote system is a SIP signaling device.","The remote system is running software that speaks the Session
Initiation Protocol (SIP).

SIP is a messaging protocol to initiate communication sessions between
systems.  It is a protocol used mostly in IP Telephony networks /
systems to setup, control, and teardown sessions between two or more
systems.","If possible, filter incoming connections to the port so that it is
used only by trusted sources.","https://en.wikipedia.org/wiki/Session_Initiation_Protocol","
Nessus found an unidentified SIP service.
"
"21642","","","None","careers.qatarairways.com","udp","5070","Session Initiation Protocol Detection","The remote system is a SIP signaling device.","The remote system is running software that speaks the Session
Initiation Protocol (SIP).

SIP is a messaging protocol to initiate communication sessions between
systems.  It is a protocol used mostly in IP Telephony networks /
systems to setup, control, and teardown sessions between two or more
systems.","If possible, filter incoming connections to the port so that it is
used only by trusted sources.","https://en.wikipedia.org/wiki/Session_Initiation_Protocol","
Nessus found an unidentified SIP service.
"
"25220","","","None","careers.qatarairways.com","tcp","0","TCP/IP Timestamps Supported","The remote service implements TCP timestamps.","The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.","n/a","http://www.ietf.org/rfc/rfc1323.txt",""
"10287","","","None","carrentals.qatarairways.com","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.1.148 to 91.206.232.105 : 
192.168.1.148
192.168.1.1
?
10.239.10.129
?
1.13.1.1
?
192.168.177.10
84.235.94.135
84.235.94.143
195.66.224.253
195.66.224.253
?
91.206.232.105

Hop Count: 13
"
"19506","","","None","carrentals.qatarairways.com","tcp","0","Nessus Scan Information","This plugin displays information about the Nessus scan.","This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - Whether credentialed or third-party patch management
    checks are possible.
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.","n/a","","Information about this scan : 

Nessus version : 8.0.1
Plugin feed version : 201811162251
Scanner edition used : Nessus
Scan type : Normal
Scan policy used : Basic Network Scan
Scanner IP : 192.168.1.148
Port scanner(s) : nessus_syn_scanner 
Port range : default
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2018/11/17 16:06 +03
Scan duration : 511 sec
"
"21642","","","None","carrentals.qatarairways.com","udp","5060","Session Initiation Protocol Detection","The remote system is a SIP signaling device.","The remote system is running software that speaks the Session
Initiation Protocol (SIP).

SIP is a messaging protocol to initiate communication sessions between
systems.  It is a protocol used mostly in IP Telephony networks /
systems to setup, control, and teardown sessions between two or more
systems.","If possible, filter incoming connections to the port so that it is
used only by trusted sources.","https://en.wikipedia.org/wiki/Session_Initiation_Protocol","
Nessus found an unidentified SIP service.
"
"21642","","","None","carrentals.qatarairways.com","udp","5061","Session Initiation Protocol Detection","The remote system is a SIP signaling device.","The remote system is running software that speaks the Session
Initiation Protocol (SIP).

SIP is a messaging protocol to initiate communication sessions between
systems.  It is a protocol used mostly in IP Telephony networks /
systems to setup, control, and teardown sessions between two or more
systems.","If possible, filter incoming connections to the port so that it is
used only by trusted sources.","https://en.wikipedia.org/wiki/Session_Initiation_Protocol","
Nessus found an unidentified SIP service.
"
"21642","","","None","carrentals.qatarairways.com","udp","5070","Session Initiation Protocol Detection","The remote system is a SIP signaling device.","The remote system is running software that speaks the Session
Initiation Protocol (SIP).

SIP is a messaging protocol to initiate communication sessions between
systems.  It is a protocol used mostly in IP Telephony networks /
systems to setup, control, and teardown sessions between two or more
systems.","If possible, filter incoming connections to the port so that it is
used only by trusted sources.","https://en.wikipedia.org/wiki/Session_Initiation_Protocol","
Nessus found an unidentified SIP service.
"
"10107","","","None","cki.qatarairways.com","tcp","80","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

AkamaiGHost"
"10107","","","None","cki.qatarairways.com","tcp","443","HTTP Server Type and Version","A web server is running on the remote host.","This plugin attempts to determine the type and the version of the
  remote web server.","n/a","","The remote web server type is :

Apache"
"10114","CVE-1999-0524","","None","cki.qatarairways.com","icmp","0","ICMP Timestamp Request Remote Date Disclosure","It is possible to determine the exact time set on the remote host.","The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","","The remote clock is synchronized with the local clock.
"
"10287","","","None","cki.qatarairways.com","udp","0","Traceroute Information","It was possible to obtain traceroute information.","Makes a traceroute to the remote host.","n/a","","For your information, here is the traceroute from 192.168.1.148 to 104.114.203.231 : 
192.168.1.148
192.168.1.1
?
10.239.10.129
?
1.13.1.1
?
192.168.177.10
84.235.124.17
104.114.203.231

Hop Count: 9
"
"10386","","","None","cki.qatarairways.com","tcp","80","Web Server No 404 Error Code Check","The remote web server does not return 404 error codes.","The remote web server is configured such that it does not return '404
Not Found' error codes when a nonexistent file is requested, perhaps
returning instead a site map, search page or authentication page.

Nessus has enabled some counter measures for this.  However, they
might be insufficient.  If a great number of security holes are
produced for this port, they might not all be accurate.","n/a","","

CGI scanning will be disabled for this host because the host responds
to requests for non-existent URLs with HTTP code 302
rather than 404. The requested URL was : 

    http://cki.qatarairways.com/azfjXf1rVokr.html
"
"10863","","","None","cki.qatarairways.com","tcp","443","SSL Certificate Information","This plugin displays the SSL certificate.","This plugin connects to every SSL-related port and attempts to 
extract and dump the X.509 certificate.","n/a","","Subject Name: 

Country: QA
Locality: Doha
Organization: QATAR AIRWAYS
Organization Unit: IT
Common Name: www.qatarairways.com

Issuer Name: 

Country: US
Organization: DigiCert Inc
Organization Unit: www.digicert.com
Common Name: GeoTrust RSA CA 2018

Serial Number: 03 68 E7 F0 67 BD 9E 2B DB 6D EE BA A1 FB 87 80 

Version: 3

Signature Algorithm: SHA-256 With RSA Encryption

Not Valid Before: Jul 26 00:00:00 2018 GMT
Not Valid After: Apr 19 12:00:00 2019 GMT

Public Key Info: 

Algorithm: RSA Encryption
Key Length: 2048 bits
Public Key: 00 B4 CF 5A 44 95 7B 19 B4 B2 4E 88 52 F3 39 49 B2 96 3E 8F 
            00 0E 68 8F EA 11 7F E5 5D 63 13 BA A3 61 9D 12 CA DD E1 5F 
            E9 1A 14 D7 E4 A3 32 BF 2B 33 9A 33 ED 71 37 A4 5B 60 03 6C 
            58 C7 F3 80 2E F3 CC 2B BE 80 8D 02 D8 16 D6 A8 33 59 32 E2 
            8D CB 49 59 86 3F 2B B4 02 B9 6D 32 DF 23 52 0C E2 BA 11 BA 
            9E 5B 5A FB E0 F1 1F DF 6A 1B 30 26 7B AD 64 D7 93 1E 2E E6 
            0E D9 49 9B 06 C1 EF 07 C8 82 86 A9 62 69 48 37 8B 3C 5C AF 
            FF 04 95 AB 5E 39 EE 75 C8 E5 24 31 E3 BC 51 16 BB 78 CF C8 
            D9 16 F0 48 C8 DC A1 FF 77 83 1A 0A 6E 58 F5 4A 5D B4 49 C6 
            3D 6D 3F 44 95 EB E8 B0 EB 44 B9 91 B7 7A 19 10 F9 01 1E 2C 
            D8 E5 98 A0 80 01 78 57 2D 85 AE E1 EC 69 E3 71 FD 37 46 EC 
            0D 16 7C E3 5A C3 5A 25 A1 3A 6D 03 9E 3C 43 79 5E 23 A1 A8 
            EC AC 5D FE 87 70 99 0C 86 B6 B1 DC D1 EF ED BA F9 
Exponent: 01 00 01 

Signature Length: 256 bytes / 2048 bits
Signature: 00 97 5F 9C 54 AD 70 B5 52 2C B2 00 9C 3D BB 01 6F D2 71 88 
           51 E1 C6 54 07 52 27 AB 14 15 DF 6F 54 86 9B 7C 86 50 55 D0 
           95 2F 22 55 21 F8 C3 35 84 9B 08 A4 89 CA F2 A7 0D 9A A6 1A 
           0F C5 55 E6 19 27 93 6A 44 AA 1C C4 2B EA 0A C4 D3 32 7A B1 
           E0 03 25 14 0C AF F5 AD 31 B8 DB E6 2B D6 24 DF FB 08 67 73 
           E2 34 C6 67 8C DF 25 F7 CF A8 B9 37 62 96 AE A1 34 E5 51 D7 
           B8 47 C6 E8 A9 C4 C3 31 C0 0A CF 46 29 B0 58 3E 63 32 2E 19 
           0E DF CB EA AF 6E 2B 36 23 75 8E EF 0A 81 EA 15 A0 35 C6 95 
           8F 06 FE 80 AB F8 00 28 B5 FE C6 31 29 2C 03 A5 D0 89 8F B1 
           9C 84 A8 D2 9B 71 D0 56 B1 60 B3 F9 C9 D5 62 B6 3B 03 97 99 
           93 10 F3 47 BE 58 DF 50 8A E3 4C E6 D2 EC 26 C1 47 E6 82 59 
           10 EC 71 57 71 CE 7C 45 34 A8 E0 4A 24 0A 74 20 B4 F5 EB 85 
           22 2E BF E0 76 DE DC 29 08 7E EC 65 1B FF 3B 07 07 

Extension: Authority Key Identifier (2.5.29.35)
Critical: 0
Key Identifier: 90 58 FF B0 9C 75 A8 51 54 77 B1 ED F2 A3 43 16 38 9E 6C C5 


Extension: Subject Key Identifier (2.5.29.14)
Critical: 0
Subject Key Identifier: 8D A5 05 CE D7 97 D0 8E AD CB 2F F7 ED 2C 78 1A 77 04 CA 50 


Extension: Subject Alternative Name (2.5.29.17)
Critical: 0
DNS: www.qatarairways.com
DNS: qatarairways.com
DNS: cki.qatarairways.com
DNS: wci.qatarairways.com
DNS: qmiles.qatarairways.com
DNS: stg.qatarairways.com
DNS: booking.qatarairways.com
DNS: m.qatarairways.com


Extension: Key Usage (2.5.29.15)
Critical: 1
Key Usage: Digital Signature, Key Encipherment


Extension: Extended Key Usage (2.5.29.37)
Critical: 0
Purpose#1: Web Server Authentication (1.3.6.1.5.5.7.3.1)
Purpose#2: Web Client Authentication (1.3.6.1.5.5.7.3.2)


Extension: CRL Distribution Points (2.5.29.31)
Critical: 0
URI: http://cdp.geotrust.com/GeoTrustRSACA2018.crl


Extension: Policies (2.5.29.32)
Critical: 0
Policy ID #1: 2.16.840.1.114412.1.1
Qualifier ID #1: Certification Practice Statement (1.3.6.1.5.5.7.2.1)
CPS URI: https://www.digicert.com/CPS
Policy ID #2: 2.23.140.1.2.2


Extension: Authority Information Access (1.3.6.1.5.5.7.1.1)
Critical: 0
Method#1: Online Certificate Status Protocol
URI: http://status.geotrust.com
Method#2: Certificate Authority Issuers
URI: http://cacerts.geotrust.com/GeoTrustRSACA2018.crt


Extension: Basic Constraints (2.5.29.19)
Critical: 0


Extension: 1.3.6.1.4.1.11129.2.4.2
Critical: 0
Data: 04 81 F3 00 F1 00 76 00 A4 B9 09 90 B4 18 58 14 87 BB 13 A2 
      CC 67 70 0A 3C 35 98 04 F9 1B DF B8 E3 77 CD 0E C8 0D DC 10 
      00 00 01 64 D6 99 05 C1 00 00 04 03 00 47 30 45 02 21 00 95 
      68 5D 9A 61 20 08 19 C0 A1 28 3C 8E BF EE 79 CE BF 43 08 16 
      D7 8B 04 AD 99 58 FF EF 90 00 8F 02 20 28 25 03 96 17 BF 23 
      F5 93 A1 61 D9 A4 05 6D E2 8E E3 30 70 67 9F AE 1A AA 23 B0 
      8F A7 C9 82 ED 00 77 00 87 75 BF E7 59 7C F8 8C 43 99 5F BD 
      F3 6E FF 56 8D 47 56 36 FF 4A B5 60 C1 B4 EA FF 5E A0 83 0F 
      00 00 01 64 D6 99 06 8F 00 00 04 03 00 48 30 46 02 21 00 E2 
      A1 2D 8B 26 89 17 2A 64 E6 62 2F 78 54 80 3B 23 EC 75 75 14 
      5F 0C 4B AF BF 05 8E 36 6E 6B CC 02 21 00 F4 35 E2 49 A9 04 
      43 42 AA 22 2A 02 AF 03 0A EF 6B 46 5A 8F E7 79 EB 24 B4 74 
      A2 10 EC 94 01 CB 


Fingerprints : 

SHA-256 Fingerprint: 07 DD 0A AA C1 82 59 24 B9 8D 7D E0 8E 13 44 7D BA 8D 7B 75 
                     26 D6 B1 15 7A A1 5B 1B 6E 66 73 CA 
SHA-1 Fingerprint: 9D E5 81 40 E4 4F 82 40 F6 82 39 49 C5 2B A2 67 B8 7F FC 4A 
MD5 Fingerprint: 25 9F 2B 56 4F 07 C5 FE EA 7A 8E 32 C3 DB 6A 7B 

"
"11219","","","None","cki.qatarairways.com","tcp","80","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 80/tcp was found to be open"
"11219","","","None","cki.qatarairways.com","tcp","443","Nessus SYN scanner","It is possible to determine which TCP ports are open.","This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.","Protect your target with an IP filter.","","Port 443/tcp was found to be open"
"11936","","","None","cki.qatarairways.com","tcp","0","OS Identification","It is possible to guess the remote operating system.","Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.","n/a","","
Remote operating system : Linux Kernel 2.6
Confidence level : 65
Method : SinFP

 
The remote host is running Linux Kernel 2.6"
